Vial_Name,Num_Gen,Arriv_Time,Start_T,Start_F,Replication,First_Addition,Second_Addition,Check_Date,Adults_T,Adults_F,Relative_Arriv_Time
2-T12-30-30-II,2,T12,30,30,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-01T00:00:00Z,37,1,-12
2-T12-40-20-I,2,T12,40,20,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-01T00:00:00Z,31,0,-12
2-T12-40-20-II,2,T12,40,20,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-01T00:00:00Z,32,2,-12
2-T18-20-40-I,2,T18,20,40,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-01T00:00:00Z,44,3,-18
2-T18-30-30-II,2,T18,30,30,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-01T00:00:00Z,30,1,-18
2-T18-30-30-III,2,T18,30,30,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-01T00:00:00Z,48,0,-18
2-T18-40-20-I,2,T18,40,20,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-01T00:00:00Z,31,2,-18
2-T18-40-20-II,2,T18,40,20,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-01T00:00:00Z,39,4,-18
2-F6-20-40-I,2,F6,20,40,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,17,23,6
2-F6-30-30-II,2,F6,30,30,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,20,19,6
2-F6-30-30-III,2,F6,30,30,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,26,19,6
2-T6-10-20-II,2,T6,10,20,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,33,2,-6
2-T6-15-15-I,2,T6,15,15,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,29,7,-6
